week_start_date,menu_category,dish_name,dish_type,preparation_time_hours,ingredient_cost_per_serving,selling_price,shelf_life_hours,popularity_score,nutritional_category,season_appropriateness,prep_difficulty,equipment_needed,allergens
2024-01-01,dinner,Margherita Pizza,vegetarian,2.0,3.89,8.22,8,8,international,summer,easy,grill,"dairy,shellfish"
2024-01-01,dinner,Turkey Club,regular,2.35,2.68,6.77,12,8,classic,winter,medium,steamer,"nuts,dairy"
2024-01-01,dinner,Caprese Panini,regular,0.89,3.32,11.51,9,8,classic,year_round,easy,fryer,"shellfish,dairy"
2024-01-01,lunch,Quinoa Salad,vegetarian,1.85,2.96,7.67,6,6,comfort_food,winter,medium,fryer,none
2024-01-01,dinner,Coconut Curry Tofu,gluten_free,0.41,3.84,11.12,4,4,classic,summer,easy,grill,none
2024-01-01,breakfast,BBQ Ribs,vegan,1.43,2.51,7.51,4,5,comfort_food,year_round,hard,steamer,"gluten,nuts"
2024-01-01,breakfast,Lentil Soup,gluten_free,1.46,3.12,7.12,6,4,healthy,fall,hard,grill,shellfish
2024-01-01,dinner,Egg Fried Rice,vegan,2.18,2.22,6.62,2,10,comfort_food,fall,easy,steamer,none
2024-01-01,dinner,Beef Burrito Bowl,vegetarian,2.2,1.51,4.58,11,8,comfort_food,spring,medium,fryer,"nuts,eggs"
2024-01-08,breakfast,Fattoush Salad,vegetarian,2.23,3.51,9.72,8,4,classic,spring,easy,fryer,none
2024-01-08,breakfast,Mac & Cheese,regular,0.72,1.06,2.45,12,10,comfort_food,year_round,hard,grill,none
2024-01-08,lunch,Chicken Quesadilla,regular,1.68,1.01,2.67,3,8,healthy,spring,medium,grill,none
2024-01-08,lunch,Stuffed French Toast,vegan,1.02,2.38,7.29,6,5,classic,year_round,easy,grill,none
2024-01-08,lunch,Veggie Lasagna,vegan,1.24,2.22,7.02,2,8,comfort_food,winter,easy,fryer,none
2024-01-08,dinner,Roast Beef Sandwich,vegan,0.63,1.43,4.36,2,6,classic,winter,medium,grill,"nuts,soy"
2024-01-08,lunch,Korean Bibimbap,vegetarian,1.0,2.14,6.32,3,6,international,spring,easy,steamer,none
2024-01-08,lunch,Spinach & Feta Omelette,vegan,1.0,2.9,5.89,2,8,healthy,year_round,medium,steamer,none
2024-01-08,dinner,Tofu Stir‑Fry,vegetarian,1.01,2.72,8.53,3,6,international,spring,medium,steamer,"shellfish,gluten"
2024-01-15,breakfast,Spaghetti Bolognese,vegan,2.29,1.28,3.98,7,8,international,fall,hard,oven,"soy,nuts"
2024-01-15,dinner,Fish & Chips,vegetarian,2.09,1.77,4.05,5,6,healthy,fall,medium,oven,none
2024-01-15,lunch,Tofu Pad Krapow,gluten_free,1.39,3.36,7.45,5,9,comfort_food,winter,easy,steamer,none
2024-01-15,lunch,Avocado Toast,gluten_free,0.82,1.23,2.58,5,10,comfort_food,summer,hard,fryer,none
2024-01-15,dinner,Dumplings,gluten_free,0.87,1.66,4.62,10,7,classic,year_round,medium,grill,none
2024-01-15,dinner,BLT Bagel,regular,1.23,1.13,2.34,11,7,international,summer,easy,steamer,"dairy,shellfish"
2024-01-15,lunch,Chicken Tikka Masala,gluten_free,1.64,1.39,3.04,2,7,international,fall,medium,steamer,eggs
2024-01-15,lunch,Seafood Paella,gluten_free,0.81,2.09,6.02,8,5,international,spring,medium,grill,"soy,dairy"
2024-01-15,dinner,Gluten‑Free Banana Bread,vegetarian,2.23,3.25,7.59,8,10,international,summer,easy,fryer,nuts
2024-01-22,breakfast,Classic Pancakes,vegetarian,1.37,2.76,8.42,10,10,comfort_food,winter,hard,fryer,none
2024-01-22,lunch,Cranberry Kale Salad,vegetarian,1.06,2.37,6.77,9,4,classic,summer,easy,grill,"shellfish,nuts"
2024-01-22,dinner,Shrimp Scampi,vegan,0.65,1.66,3.81,11,6,international,year_round,medium,fryer,none
2024-01-22,dinner,Mango Smoothie Bowl,regular,1.07,3.06,9.14,9,7,healthy,summer,medium,fryer,"eggs,dairy"
2024-01-22,dinner,Tiramisu Parfait,gluten_free,1.71,1.32,4.22,5,4,healthy,winter,easy,oven,"nuts,dairy"
2024-01-22,lunch,Curry Chickpeas,regular,1.46,3.63,7.45,3,6,international,fall,easy,grill,gluten
2024-01-22,lunch,Kimchi Fried Rice,regular,0.53,2.57,7.46,8,10,healthy,summer,medium,fryer,"shellfish,soy"
2024-01-22,breakfast,Chicken Alfredo,vegetarian,1.42,1.22,2.72,5,10,international,fall,easy,grill,"nuts,dairy"
2024-01-22,breakfast,Egg Salad Sandwich,regular,2.02,1.68,5.84,7,10,healthy,spring,easy,steamer,gluten
2024-01-29,breakfast,Teriyaki Chicken,vegan,1.96,2.59,6.71,5,8,classic,winter,medium,oven,soy
2024-01-29,breakfast,Garden Sushi Roll,gluten_free,1.92,3.13,7.8,7,9,international,winter,easy,grill,nuts
2024-01-29,dinner,Stuffed Portobello,vegan,2.29,0.82,1.95,6,9,healthy,spring,hard,fryer,none
2024-01-29,breakfast,Waffles & Berries,regular,1.62,3.18,7.91,10,7,international,spring,hard,steamer,"dairy,gluten"
2024-01-29,lunch,Greek Yogurt Parfait,vegetarian,2.08,3.64,8.64,10,9,international,summer,hard,oven,"dairy,eggs"
2024-01-29,breakfast,Pesto Pasta,gluten_free,1.37,1.09,2.7,6,9,international,fall,easy,grill,none
2024-01-29,breakfast,Butternut Squash Soup,regular,0.61,1.44,3.51,7,5,comfort_food,winter,medium,grill,nuts
